highlights,comments
Page 3693,Why? Why do I feel the need to control Rosy’s behavior so much? To guide and narrow her path through the world? 
Page 3694,I reach a simple conclusion: I think this is what a good parent does. I believe that the more I say to Rosy—and the more I instruct her—the better parent I am. 
Page 3707,I’m far from the first to notice such a paradox. Many anthropologists psychologists and journalists have written about this. After living with the Ju/’hoan hunter-gatherers in the Kalahari Desert writer Elizabeth Marshall Thomas eloquently 
Page 3708,summed up the idea: 
Page 3709,“Free from frustration or anxiety… the Ju/’hoan children were every parent’s dream. No culture can ever have raised better more intelligent more likable more confident children.” 
Page 3713,That said one factor seems to be especially critical to raising confident kind kids: Hadzabe children don’t simply have freedom or independence; they have autonomy. And that makes all the difference in the world. 
Page 3725,It’s easy to confuse autonomy and independence. 
Page 3730,The difference has to do with connectivity. Independence means not needing or not being influenced by others. An independent child operates like a solitary planet. They’re disconnected. They have no obligations to their family or their community around them. And in return the family and community have no expectations of the child. 
Page 3736,These children are not solitary planets. They belong to a solar system circling around each other feeling and stabilized by each other’s gravity. Those connections come in two ways: responsibilities to others and an invisible safety net. 
Page 3765,By sprinkling these requests into daily activities parents train the children to orient their activities and attention toward others says psychologist Sheina Lew-Levy. 
Page 3767,Children learn to be on the lookout for what other people need and then to hop in and help whenever they can. 
Page 3771,This approach really is a beautiful way to parent because it gives a child two things they crave and need: freedom and teamwork. 
Page 3775,It’s the combination that makes the peach taste so good. The same goes for raising kind children. Freedom (sweetness) on its own can generate selfish kids. But add a pinch of teamwork (tartness) and the child bursts with generosity and confidence. They become the perfect peach. 
Page 3777,One night back home in San Francisco Rosy eloquently sums up this style of parenting at dinner: “Everyone does what they want but they must be kind share and be helpful.” 
Page 3808,“Like exercise and sleep it appears to be good for virtually everything” neuropsychologist William Stixrud and educator Ned Johnson write in their book The Self-Driven Child. 
Page 3811,In essence when I step back wait-a-bit and let Rosy handle the world on her own I convey several important messages to her. I tell her that she’s capable and self-sufficient; that she can solve problems on her own; and that she can handle what life throws at her. Think back to the formula. By letting Rosy act on her own I give her opportunities to practice being self-sufficient and independent. And I model respect for others. 
Page 3814,On the flip side when I constantly instruct and guide her actions I undermine her confidence even as I try to help her. I give her opportunities to practice dependency and neediness. And I model bossy demanding behavior. 
Page 3815,But my bossiness has another disadvantage: it slows down Rosy’s growth both physically and mentally. The Hadzabe families have noticed this effect on children. “Because we give children so much freedom and because they participate in all activities from an early age our children are independent much earlier than in most societies” a group of elders explained in the book Hadzabe: By the Light of a Million Fires. 
Page 3826,Autonomy provides the “antidote to this stress” Bill and Ned write. When you feel like you have influence over your immediate situation and the direction of your life stress goes down the brain relaxes and life gets easier. 
Page 3827,“The biggest gift parents can give their children is the opportunity to make their own decisions” psychologist 
Page 3834,1. Decrease your commands and other verbal input (e.g. questions requests choices). 2. Empower the child by training them to handle obstacles and dangers which in turn allows you to reduce your commands. 
Page 3860,“At a store or with an instructor or coach you might even physically hang back and avoid eye contact so that it’s clear to the adult that your child will be doing the talking” former Stanford 
Page 3861,dean Julie Lythcott-Haims writes in her book How to Raise an Adult. 
Page 3885,But the idea remains the same across the board: Use the formula! Practice model and acknowledge. 
Page 3913,Step back. Sit down somewhere pull out a book (or work) and relax. Let the child explore autonomously. Count your commands and go for three per hour. 
Page 4081,In southern India the Nayaka hunter-gatherers value alloparents so much that they have a special name for them: sonta which roughly means a group of people who are as close as siblings. Adults call all the children around their home “son” or “daughter” or maga(n) and all the older people in their community “little father” cikappa(n) and “little mother” cikawa(l). 
Page 4099,Western culture currently underestimates the value of child-to-child teaching says psychologist Sheina Lew-Levy who studies the BaYaka hunter-gatherers in central Africa. “We think teaching occurs when a more knowledgeable adult instructs a younger individual but in my research I found that not to be the case. I found child-to-child teaching to be much more common after infancy” she says. 
Page 4127,“Just spending time with others even if you aren’t interacting can lower your blood pressure and have a calming effect” says psychologist Bert Uchino at the University of Utah who studies how loneliness affects our physical health. 
Page 4139,Some anthropologists believe that alloparenting gives children something that sounds almost magical: trust in the world. 
Page 4152,Maybe the problem wasn’t me after all. Instead maybe the problem lies in Western culture—how we think parenting should work and how we bring new babies into this world. 
Page 4160,Perhaps I am coming to see that what Rosy needs isn’t another extracurricular activity after school or an extra study session on the weekends. Rather she needs time with a few key adults and children who know and love her just as much as her father and I do. What she needs is a circle of love that will lift her up and give her trust in the world. 
Page 4169,linchpins 
Page 4185,For children of any age simply use the formula: provide opportunities to practice model the behavior you want and connect the care to maturity. 
Page 4244,Maria values togetherness encouragement (instead of force) autonomy and minimal interference. She practices TEAM parenting. 
Page 4254,In this book we’ve learned an alternative approach to these two dichotomies. With TEAM parenting the mom and dad set the daily agenda and overall schedule for the whole family. They go about their business around the home and community and expect the kids to 
Page 4256,follow along more or less.I They welcome the children into their world. 
Page 4263,They know that actions and modeling will prove much more effective—and much less stressful—than issuing instructions and commands. 
Page 4268,In essence if a parent doesn’t demand and control a child’s attention the child won’t demand and control the parent’s attention. 
Page 4298,We can join the millions of parents around the world—and across history—who step behind the child wait-a-bit and let the child make their own decisions; let them make their own mistakes; and let them make their own types of kebabs. We or an alloparent will be standing behind them with our arms outstretched ready to catch them if they fall. 
Page 4325,I sketch out the “formula”—the three ingredients for training a child to do anything you want: 1 cup of practice + 1 cup 
Page 4326,of modeling + 1 teaspoon of acknowledging = skill learned. 
Page 4354,Ben writes in his book Wild Nights: How Taming Sleep Created Our Restless World. 
Page 4370,mayhem. 
Page 4373,Think back to the formula: practice model and acknowledge. At bedtime I have given Rosy the opportunity to practice arguing screaming and issuing demands (e.g. “I need food” “I need milk” “I need another book”). I have modeled impatience and bossiness—some might even say demanding behavior (“You have to brush your teeth right now Rosemary Jane”). Finally I have given so 
Page 4376,much attention to the wrong behaviors. I have acknowledged (negatively but intensely) all of Rosy’s antics. I have met Rosy’s high energy with high energy. And thus day after day month after month and year after year bedtime has become harder and harder. 
Page 4389,At the end of the day (no pun intended) it will be up to her when she goes to sleep. 
Page 4399,jinx 
Page 4415,And along the way I sharpened my TEAM parenting skills: Togetherness: We did bedtime together. Encourage: I encouraged Rosy to go to sleep instead of forcing her at a particular time. Autonomy: Rosy decided on her own when to go upstairs to go to sleep. Minimize interference: Instead of controlling Rosy’s behavior I did what was minimally required to help her learn a valuable life skill. 
